source_id,canonical_source_name,class_label,class_label_text,classification_status,classification_reference,classification_evidence,identity_reference,included_in_trusted_cohort,confidence_status,notes
4u_1746_37,4U 1746-37,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABDG, 37 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABDG, 37 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
gx_339_4,GX 339-4,BH,BH,verified,https://arxiv.org/abs/1510.08869,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,True,independent catalog evidence; explicit archive name plus position,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
xte_j1550_564,XTE J1550-564,BH,BH,verified,https://arxiv.org/abs/1510.08869,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,True,independent catalog evidence; explicit archive name plus position,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
aql_x_1,Aql X-1,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABDIORT, 96 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABDIORT, 96 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1806_5_2215,SAX J1806.5-2215,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type TB, 9 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type TB, 9 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
xte_j1859_226,XTE J1859+226,BH,BH,verified,https://arxiv.org/abs/1510.08869,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,True,independent catalog evidence; explicit archive name plus position,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
4u_0614_09,4U 0614+09,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABRSC, 2 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABRSC, 2 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1810_8_2609,SAX J1810.8-2609,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type TBO, 16 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type TBO, 16 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
hete_j1900_1_2455,HETE J1900.1-2455,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BOIT, 10 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BOIT, 10 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1705_44,4U 1705-44,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BAR, 267 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BAR, 267 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
mxb_1658_298,MXB 1658-298,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BDEOT, 27 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BDEOT, 27 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
1a_1744_361,1A 1744-361,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type TA?BDR, 4 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type TA?BDR, 4 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
sax_j1750_8_2900,SAX J1750.8-2900,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type A?BOT, 24 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type A?BOT, 24 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
ks_1731_260,KS 1731-260,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BOST, 366 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BOST, 366 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1636_536,4U 1636-536,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABOS, 664 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABOS, 664 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1254_69,4U 1254-69,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BDS, 34 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BDS, 34 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
gs_1354_64,GS 1354-64,BH,BH,verified,https://arxiv.org/abs/1510.08869,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.,https://arxiv.org/abs/1510.08869,True,independent catalog evidence; explicit archive name plus position,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.
ser_x_1,Ser X-1,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BARS, 55 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BARS, 55 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1702_429,4U 1702-429,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABO, 284 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABO, 284 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1735_444,4U 1735-444,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABR?S, 71 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABR?S, 71 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
